game_id,at_bat_index,event_type,batter_id,pitcher_id,event_description,coord_x,coord_y,savant_url
36521,66,double,518934,670950,DJ LeMahieu doubles (1) on a sharp line drive to left fielder Davis Schneider. Alex Verdugo scores.,,,https://baseballsavant.mlb.com/savant-player/518934?stats=statcast-r-hitting-mlb&season=2036
22184,48,field_out,663897,458677,"Luke Williams grounds out, shortstop Gleyber Torres to first baseman DJ LeMahieu.",,,https://baseballsavant.mlb.com/savant-player/663897?stats=statcast-r-hitting-mlb&season=2022
42564,48,field_out,663897,458677,"Luke Williams grounds out, shortstop Gleyber Torres to first baseman DJ LeMahieu.",,,https://baseballsavant.mlb.com/savant-player/663897?stats=statcast-r-hitting-mlb&season=2042
22336,6,force_out,663993,594835,"Nathaniel Lowe grounds into a force out, fielded by shortstop J. P. Crawford. Adolis Garcia out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/663993?stats=statcast-r-hitting-mlb&season=2022
42716,6,force_out,663993,594835,"Nathaniel Lowe grounds into a force out, fielded by shortstop J. P. Crawford. Adolis Garcia out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/663993?stats=statcast-r-hitting-mlb&season=2042
30911,44,grounded_into_double_play,545358,607237,"Max Stassi grounds into a double play, second baseman Whit Merrifield to shortstop Nicky Lopez to first baseman Nick Pratto. Luis Rengifo out at 2nd. Max Stassi out at 1st.",,,https://baseballsavant.mlb.com/savant-player/545358?stats=statcast-r-hitting-mlb&season=2030
33839,70,single,665487,670950,Fernando Tatis Jr. singles on a soft ground ball to center fielder Kevin Kiermaier. Ha-Seong Kim to 2nd.,,,https://baseballsavant.mlb.com/savant-player/665487?stats=statcast-r-hitting-mlb&season=2033
33870,18,field_out,663656,676664,Kyle Tucker flies out to center fielder JJ Bleday.,,,https://baseballsavant.mlb.com/savant-player/663656?stats=statcast-r-hitting-mlb&season=2033
22482,7,field_out,621466,666159,"DJ Stewart grounds out sharply, second baseman Willi Castro to first baseman Renato Nunez.",,,https://baseballsavant.mlb.com/savant-player/621466?stats=statcast-r-hitting-mlb&season=2022
42862,7,field_out,621466,666159,"DJ Stewart grounds out sharply, second baseman Willi Castro to first baseman Renato Nunez.",,,https://baseballsavant.mlb.com/savant-player/621466?stats=statcast-r-hitting-mlb&season=2042
33930,19,field_out,665926,679525,"Andres Gimenez grounds out, second baseman Michael Massey to first baseman Nick Pratto. Steven Kwan to 3rd.",,,https://baseballsavant.mlb.com/savant-player/665926?stats=statcast-r-hitting-mlb&season=2033
22567,45,single,669016,669373,Brandon Marsh singles on a line drive to right fielder Robbie Grossman. Jo Adell to 2nd.,,,https://baseballsavant.mlb.com/savant-player/669016?stats=statcast-r-hitting-mlb&season=2022
42947,45,single,669016,669373,Brandon Marsh singles on a line drive to right fielder Robbie Grossman. Jo Adell to 2nd.,,,https://baseballsavant.mlb.com/savant-player/669016?stats=statcast-r-hitting-mlb&season=2042
22608,26,field_out,595978,672282,Austin Hedges pops out to second baseman David Fletcher.,,,https://baseballsavant.mlb.com/savant-player/595978?stats=statcast-r-hitting-mlb&season=2022
42988,26,field_out,595978,672282,Austin Hedges pops out to second baseman David Fletcher.,,,https://baseballsavant.mlb.com/savant-player/595978?stats=statcast-r-hitting-mlb&season=2042
31143,5,force_out,578428,641712,"Jose Iglesias grounds into a force out, shortstop Paul DeJong to second baseman Nolan Gorman. Charlie Blackmon out at 2nd. Jose Iglesias to 1st.",,,https://baseballsavant.mlb.com/savant-player/578428?stats=statcast-r-hitting-mlb&season=2031
43013,50,single,673357,643256,Luis Robert singles on a ground ball to second baseman Marcus Semien.,,,https://baseballsavant.mlb.com/savant-player/673357?stats=statcast-r-hitting-mlb&season=2043
22633,50,single,673357,643256,Luis Robert singles on a ground ball to second baseman Marcus Semien.,,,https://baseballsavant.mlb.com/savant-player/673357?stats=statcast-r-hitting-mlb&season=2022
39868,15,field_out,457705,434378,Andrew McCutchen flies out to center fielder Jung Hoo Lee.,,,https://baseballsavant.mlb.com/savant-player/457705?stats=statcast-r-hitting-mlb&season=2039
22733,59,field_out,624585,608349,Jorge Soler out. Jorge Soler out at 1st. Jorge Soler out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/624585?stats=statcast-r-hitting-mlb&season=2022
43113,59,field_out,624585,608349,Jorge Soler out. Jorge Soler out at 1st. Jorge Soler out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/624585?stats=statcast-r-hitting-mlb&season=2043
39961,30,double,592663,671096,"J.T. Realmuto doubles (22) on a sharp line drive to center fielder TJ Friedl, deflected by right fielder Noelvi Marte.",,,https://baseballsavant.mlb.com/savant-player/592663?stats=statcast-r-hitting-mlb&season=2039
31291,0,double,502054,665152,Tommy Pham doubles (19) on a sharp line drive to left fielder Kyle Stowers.,,,https://baseballsavant.mlb.com/savant-player/502054?stats=statcast-r-hitting-mlb&season=2031
31291,71,field_out,624414,642585,"Christian Arroyo grounds out, third baseman Tyler Nevin to first baseman Ryan Mountcastle.",,,https://baseballsavant.mlb.com/savant-player/624414?stats=statcast-r-hitting-mlb&season=2031
37196,19,grounded_into_double_play,641658,542881,"Garrett Hampson grounds into a double play, third baseman Anthony Rendon to second baseman Jack López to first baseman Nolan Schanuel. Dairon Blanco out at 2nd. Garrett Hampson out at 1st.",,,https://baseballsavant.mlb.com/savant-player/641658?stats=statcast-r-hitting-mlb&season=2037
31415,63,field_out,545121,656657,Ildemaro Vargas flies out to left fielder Tony Kemp.,,,https://baseballsavant.mlb.com/savant-player/545121?stats=statcast-r-hitting-mlb&season=2031
43308,7,force_out,543543,592716,"Brad Miller grounds into a force out, third baseman Patrick Wisdom to shortstop Sergio Alcantara. Andrew McCutchen out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/543543?stats=statcast-r-hitting-mlb&season=2043
22928,7,force_out,543543,592716,"Brad Miller grounds into a force out, third baseman Patrick Wisdom to shortstop Sergio Alcantara. Andrew McCutchen out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/543543?stats=statcast-r-hitting-mlb&season=2022
37262,63,field_out,660821,657240,Jesús Sánchez out to catcher Miguel Amaya. Jesús Sánchez out at 1st.,,,https://baseballsavant.mlb.com/savant-player/660821?stats=statcast-r-hitting-mlb&season=2037
43401,56,grounded_into_double_play,570731,605240,"Jonathan Schoop grounds into a double play, shortstop Tim Anderson to second baseman Cesar Hernandez to first baseman Jose Abreu. Akil Baddoo out at 2nd. Jonathan Schoop out at 1st.",,,https://baseballsavant.mlb.com/savant-player/570731?stats=statcast-r-hitting-mlb&season=2043
23021,56,grounded_into_double_play,570731,605240,"Jonathan Schoop grounds into a double play, shortstop Tim Anderson to second baseman Cesar Hernandez to first baseman Jose Abreu. Akil Baddoo out at 2nd. Jonathan Schoop out at 1st.",,,https://baseballsavant.mlb.com/savant-player/570731?stats=statcast-r-hitting-mlb&season=2023
43419,66,single,570482,607359,"Rangers challenged (tag play), call on the field was upheld: Gio Urshela singles on a ground ball to second baseman Yonny Hernandez. Gleyber Torres scores. Fielding error by second baseman Yonny Hernandez.",,,https://baseballsavant.mlb.com/savant-player/570482?stats=statcast-r-hitting-mlb&season=2043
23039,66,single,570482,607359,"Rangers challenged (tag play), call on the field was upheld: Gio Urshela singles on a ground ball to second baseman Yonny Hernandez. Gleyber Torres scores. Fielding error by second baseman Yonny Hernandez.",,,https://baseballsavant.mlb.com/savant-player/570482?stats=statcast-r-hitting-mlb&season=2023
31610,24,field_out,623520,592866,David Bote out to catcher Tomas Nido. David Bote out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/623520?stats=statcast-r-hitting-mlb&season=2031
34551,17,single,595777,641585,Jurickson Profar singles on a line drive to right fielder Kyle Tucker. Ha-Seong Kim to 3rd.,,,https://baseballsavant.mlb.com/savant-player/595777?stats=statcast-r-hitting-mlb&season=2034
40517,47,field_out,502671,608650,"Paul Goldschmidt grounds out softly, shortstop Gunnar Henderson to first baseman Coby Mayo.",,,https://baseballsavant.mlb.com/savant-player/502671?stats=statcast-r-hitting-mlb&season=2040
31837,15,field_out,663478,605164,Brendon Davis flies out to center fielder Mark Contreras.,,,https://baseballsavant.mlb.com/savant-player/663478?stats=statcast-r-hitting-mlb&season=2031
31895,53,triple,666176,650204,"Jo Adell triples (2) on a sharp line drive to center fielder Cristian Pache, deflected by right fielder Conner Capel.",,,https://baseballsavant.mlb.com/savant-player/666176?stats=statcast-r-hitting-mlb&season=2031
35150,5,field_out,547957,656302,Hyun Soo Kim flies out to left fielder Jurickson Profar.,,,https://baseballsavant.mlb.com/savant-player/547957?stats=statcast-r-hitting-mlb&season=2035
35150,7,home_run,673490,823583,Ha-Seong Kim hits a home run (1). Manny Machado scores.,,,https://baseballsavant.mlb.com/savant-player/673490?stats=statcast-r-hitting-mlb&season=2035
